workload,window_type,n,median_s,p90_s,total_s
BCB,gen_window,21,7.41,11.12,163.0
BCB,idle_window,20,0.53,1.67,27.2
SWE astropy,gen_window,14,4.5,9.96,90.5
SWE astropy,idle_window,13,0.52,0.52,7.3
SWE scikit,gen_window,30,8.47,19.57,354.5
SWE scikit,idle_window,29,0.52,0.52,15.2
SWE sympy,gen_window,50,2.65,5.29,146.0
SWE sympy,idle_window,49,0.52,0.53,27.2
OC calendar,gen_window,2,118.25,198.87,236.5
OC calendar,idle_window,1,1.57,1.57,1.6
OC image-crop,gen_window,3,11.12,17.06,32.8
OC image-crop,idle_window,2,1.05,1.46,2.1
OC pdf-digest,gen_window,1,76.79,76.79,76.8
OC web-digest,gen_window,1,51.91,51.91,51.9
SWE sympy,step_exec,84,0.145,0.152,14.4
