win	group	t_start	t_end	engine_running	engine_tokens
000	tma	1783593739.256118	1783593749.370232	0	3652024
001	core	1783593749.543623	1783593759.572070	1	3655467
002	cache	1783593760.194355	1783593770.227538	1	3657556
003	fp1	1783593772.146303	1783593782.180093	1	3659340
004	fp2	1783593782.302060	1783593792.336115	1	3662712
005	mlp	1783593792.453275	1783593802.484978	1	3664774
006	fe	1783593802.617098	1783593812.650201	1	3666504
007	icache	1783593814.140670	1783593824.171697	0	3668732
008	priv	1783593824.351503	1783593834.386836	1	3672206
009	tma	1783593834.498737	1783593844.535917	1	3674056
010	core	1783593844.662303	1783593854.690357	1	3675811
011	cache	1783593854.818236	1783593864.851804	1	3677562
012	fp1	1783593864.981723	1783593875.017976	1	3681572
013	fp2	1783593875.190174	1783593885.223314	1	3683596
014	mlp	1783593885.350612	1783593895.381353	1	3685311
015	fe	1783593895.598442	1783593905.632468	1	3687154
016	icache	1783593905.747903	1783593915.779732	0	3688821
017	priv	1783593915.905753	1783593925.938802	1	3692662
018	tma	1783593926.147908	1783593936.205965	1	3694647
019	core	1783593937.196520	1783593947.226120	1	3696223
020	cache	1783593947.354300	1783593957.388221	1	3699499
021	fp1	1783593957.510455	1783593967.542516	1	3701443
022	fp2	1783593967.755543	1783593977.787160	1	3703453
023	mlp	1783593978.199556	1783593988.230272	1	3705521
024	fe	1783593988.348863	1783593998.381321	0	3707363
025	icache	1783593998.518142	1783594008.555194	1	3711065
026	priv	1783594008.676576	1783594018.710591	1	3712834
